Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season_start,season_end
Steven Adams,C,26,OKC,58,1564,20.8,.605,.007,.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,,3.7,2.5,6.2,.190,,2.1,1.1,3.2,2.0,2019,2020
Bam Adebayo,PF,22,MIA,64,2200,20.5,.604,.018,.483,8.6,25.1,17.3,23.2,1.7,3.8,17.6,20.7,,4.4,3.6,8.0,.175,,1.6,2.0,3.6,3.1,2019,2020
LaMarcus Aldridge,C,34,SAS,52,1717,19.9,.573,.199,.243,6.4,18.0,12.2,11.5,0.9,4.3,7.9,23.4,,3.1,1.3,4.4,.123,,1.9,-0.6,1.4,1.5,2019,2020
Nickeil Alexander-Walker,SG,21,NOP,41,501,7.6,.441,.515,.123,1.7,15.2,8.4,20.3,1.0,1.2,14.3,22.8,,-0.7,0.4,-0.4,-0.034,,-3.4,-1.5,-4.9,-0.4,2019,2020
Grayson Allen,SG,24,MEM,30,498,11.4,.577,.517,.199,1.1,12.6,6.9,11.8,0.6,0.2,10.7,17.9,,0.5,0.3,0.7,.070,,-1.0,-1.7,-2.6,-0.1,2019,2020
Jarrett Allen,C,21,BRK,63,1627,20.4,.660,.012,.567,12.4,25.1,18.9,7.9,1.0,4.3,12.3,15.1,,4.3,2.7,7.0,.207,,1.1,1.0,2.1,1.7,2019,2020
Kadeem Allen,SG,27,NYK,10,117,14.0,.512,.364,.250,1.8,6.6,4.1,27.2,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.054,,-0.1,-0.6,-0.7,0.0,2019,2020
Al-Farouq Aminu,PF,29,ORL,18,380,7.6,.395,.419,.337,6.5,18.4,12.3,7.4,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.015,,-4.6,1.4,-3.2,-0.1,2019,2020
Justin Anderson,SF,26,BRK,3,17,-3.8,.218,.500,.333,0.0,11.8,6.1,0.0,0.0,4.9,0.0,16.9,,-0.1,0.0,-0.1,-0.168,,-12.7,-2.3,-15.0,-0.1,2019,2020
Kyle Anderson,PF,26,MEM,58,1114,13.1,.542,.222,.222,5.2,18.4,11.9,15.2,1.9,2.3,15.2,13.5,,0.8,1.4,2.2,.095,,-1.3,1.7,0.4,0.7,2019,2020
Ryan Anderson,PF,31,HOU,2,14,9.5,.357,.714,.000,0.0,52.6,26.1,20.1,3.3,0.0,12.5,23.6,,0.0,0.0,0.0,-0.031,,-4.0,0.7,-3.3,0.0,2019,2020
Giannis Antetokounmpo,PF,25,MIL,57,1763,31.7,.608,.238,.500,7.8,34.5,22.0,33.9,1.5,2.9,13.1,37.4,,5.6,4.7,10.4,.282,,7.5,4.0,11.5,6.0,2019,2020
Kostas Antetokounmpo,PF,22,LAL,3,5,8.6,,,,0.0,21.3,10.9,22.4,0.0,0.0,,0.0,,0.0,0.0,0.0,.136,,1.3,3.0,4.3,0.0,2019,2020
Thanasis Antetokounmpo,SF,27,MIL,18,93,14.2,.528,.194,.417,12.4,8.0,10.1,13.8,2.9,1.9,20.5,23.8,,0.0,0.2,0.2,.083,,-3.9,1.6,-2.4,0.0,2019,2020
Carmelo Anthony,PF,35,POR,49,1591,12.0,.515,.288,.199,4.0,16.0,10.1,6.7,1.1,1.1,10.7,21.5,,0.0,0.8,0.8,.025,,-2.1,-1.9,-4.0,-0.8,2019,2020
OG Anunoby,SF,22,TOR,63,1897,13.2,.598,.408,.163,4.2,14.6,9.5,7.5,2.2,2.1,11.7,14.4,,1.8,3.3,5.1,.130,,-0.8,1.8,1.0,1.5,2019,2020
Ryan Arcidiacono,PG,25,CHI,58,930,9.0,.551,.627,.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,,0.7,0.7,1.3,.069,,-2.7,-0.1,-2.8,-0.2,2019,2020
